,Aflitos,Afogados,Alto José Bonifácio,Alto José do Pinho,Alto Santa Terezinha,Alto do Mandu,Apipucos,Areias,Arruda,Barro,Beberibe,Boa Viagem,Boa Vista,Bomba do Hemetério,Bongi,Brasília Teimosa,Brejo da Guabiraba,Brejo do Beberibe,Cabanga,Cajueiro,Campina do Barreto,Campo Grande,Casa Amarela,Casa Forte,Caxangá,Caçote,Coelhos,Cohab,Coqueiral,Cordeiro,Curado,Córrego do Jenipapo,Derby,Dois Irmãos,Dois Unidos,Encruzilhada,Engenho do Meio,Espinheiro,Estância,Fundão,Graças,Guabiraba,Hipódromo,Ibura,Ilha Joana Bezerra,Ilha do Leite,Ilha do Retiro,Imbiribeira,Ipsep,Iputinga,Jaqueira,Jardim São Paulo,Jiquiá,Jordão,Linha do Tiro,Macaxeira,Madalena,Mangabeira,Mangueira,Monteiro,Morro da Conceição,Mustardinha,Nova Descoberta,Outros,Paissandu,Parnamirim,Passarinho,Peixinhos,Pina,Ponto de Parada,Porto da Madeira,Poço da Panela,Prado,Rosarinho,San Martin,Sancho,Santana,Santo Amaro,Santo Antônio,Soledade,São José,Sítio dos Pintos,Tamarineira,Tejipió,Torre,Torreão,Torrões,Totó,Vasco da Gama,Várzea,Zumbi,Água Fria
03 Apr,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0
04 Apr,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0
05 Apr,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,23.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,3.0,6.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0
06 Apr,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,23.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,3.0,6.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0
07 Apr,2.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,38.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,5.0,0.0,7.0,2.0,2.0,1.0,0.0,1.0,6.0,1.0,9.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,0.0,2.0,2.0,0.0,0.0,3.0,7.0,1.0,8.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,6.0,0.0,8.0,1.0,5.0,0.0,3.0,5.0,3.0,1.0
08 Apr,2.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,44.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,3.0,1.0,0.0,0.0,5.0,0.0,7.0,2.0,2.0,1.0,0.0,2.0,6.0,1.0,11.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,11.0,1.0,2.0,2.0,0.0,0.0,3.0,9.0,1.0,9.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,6.0,0.0,9.0,1.0,5.0,0.0,4.0,6.0,3.0,3.0
09 Apr,2.0,3.0,6.0,2.0,0.0,0.0,1.0,6.0,0.0,9.0,0.0,55.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,3.0,1.0,1.0,1.0,6.0,0.0,10.0,4.0,3.0,1.0,0.0,2.0,7.0,1.0,13.0,1.0,1.0,13.0,0.0,1.0,2.0,1.0,3.0,2.0,7.0,1.0,7.0,1.0,1.0,0.0,2.0,0.0,1.0,19.0,1.0,2.0,2.0,0.0,0.0,4.0,11.0,1.0,11.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,6.0,5.0,0.0,4.0,8.0,0.0,0.0,3.0,0.0,6.0,0.0,12.0,1.0,6.0,0.0,5.0,11.0,3.0,6.0
10 Apr,2.0,5.0,7.0,2.0,0.0,0.0,1.0,7.0,1.0,9.0,1.0,59.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,13.0,3.0,1.0,1.0,1.0,7.0,0.0,11.0,5.0,5.0,1.0,0.0,4.0,13.0,1.0,15.0,2.0,2.0,14.0,2.0,1.0,2.0,2.0,3.0,2.0,11.0,3.0,8.0,1.0,2.0,0.0,3.0,1.0,1.0,22.0,1.0,2.0,5.0,0.0,0.0,6.0,13.0,1.0,12.0,2.0,0.0,6.0,0.0,1.0,1.0,0.0,7.0,6.0,1.0,4.0,9.0,0.0,0.0,3.0,0.0,7.0,1.0,12.0,2.0,9.0,0.0,6.0,11.0,3.0,7.0
11 Apr,3.0,6.0,7.0,2.0,0.0,0.0,1.0,7.0,1.0,11.0,1.0,70.0,5.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,5.0,13.0,4.0,1.0,1.0,1.0,9.0,0.0,12.0,5.0,5.0,1.0,0.0,5.0,13.0,1.0,17.0,2.0,2.0,15.0,2.0,1.0,3.0,3.0,3.0,2.0,14.0,7.0,11.0,2.0,3.0,0.0,4.0,1.0,1.0,26.0,1.0,3.0,6.0,0.0,0.0,8.0,13.0,1.0,14.0,2.0,0.0,8.0,0.0,1.0,1.0,0.0,9.0,8.0,1.0,4.0,9.0,0.0,0.0,3.0,0.0,8.0,2.0,16.0,2.0,9.0,0.0,7.0,15.0,3.0,11.0
12 Apr,5.0,6.0,7.0,2.0,0.0,0.0,1.0,8.0,2.0,13.0,2.0,79.0,7.0,3.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,6.0,15.0,5.0,1.0,1.0,1.0,11.0,1.0,16.0,6.0,5.0,1.0,0.0,9.0,15.0,1.0,17.0,2.0,2.0,18.0,2.0,1.0,5.0,3.0,3.0,2.0,14.0,9.0,14.0,2.0,3.0,1.0,5.0,1.0,1.0,29.0,1.0,3.0,6.0,0.0,0.0,8.0,14.0,1.0,15.0,2.0,0.0,8.0,0.0,2.0,3.0,0.0,11.0,9.0,1.0,4.0,10.0,0.0,0.0,3.0,0.0,8.0,3.0,17.0,2.0,10.0,0.0,7.0,18.0,3.0,13.0
13 Apr,6.0,7.0,9.0,2.0,1.0,0.0,1.0,10.0,2.0,15.0,2.0,91.0,9.0,4.0,2.0,2.0,3.0,2.0,0.0,1.0,4.0,9.0,23.0,7.0,1.0,1.0,1.0,12.0,1.0,19.0,7.0,5.0,1.0,0.0,10.0,15.0,2.0,18.0,2.0,2.0,22.0,2.0,1.0,8.0,3.0,3.0,3.0,16.0,10.0,17.0,2.0,6.0,1.0,8.0,1.0,2.0,34.0,1.0,3.0,7.0,1.0,1.0,11.0,19.0,1.0,16.0,2.0,0.0,10.0,0.0,4.0,5.0,0.0,13.0,11.0,1.0,4.0,14.0,0.0,0.0,4.0,0.0,10.0,4.0,18.0,2.0,10.0,0.0,8.0,20.0,3.0,19.0
14 Apr,9.0,7.0,9.0,3.0,1.0,0.0,1.0,11.0,2.0,16.0,2.0,95.0,10.0,4.0,2.0,2.0,3.0,2.0,0.0,1.0,4.0,9.0,23.0,7.0,1.0,1.0,1.0,12.0,1.0,22.0,7.0,5.0,1.0,0.0,12.0,16.0,3.0,18.0,2.0,2.0,25.0,2.0,1.0,8.0,3.0,3.0,3.0,18.0,12.0,19.0,2.0,6.0,1.0,9.0,2.0,3.0,37.0,1.0,3.0,8.0,2.0,1.0,14.0,22.0,1.0,18.0,2.0,0.0,12.0,0.0,4.0,5.0,0.0,14.0,12.0,1.0,7.0,14.0,0.0,0.0,4.0,0.0,11.0,4.0,20.0,2.0,13.0,0.0,8.0,25.0,4.0,20.0
15 Apr,10.0,7.0,11.0,3.0,1.0,0.0,1.0,13.0,2.0,16.0,2.0,115.0,13.0,4.0,2.0,4.0,3.0,3.0,0.0,4.0,4.0,10.0,29.0,7.0,1.0,1.0,1.0,16.0,1.0,24.0,7.0,6.0,1.0,0.0,14.0,19.0,4.0,19.0,2.0,2.0,29.0,2.0,1.0,10.0,3.0,3.0,3.0,24.0,12.0,21.0,2.0,7.0,1.0,10.0,3.0,5.0,44.0,3.0,5.0,8.0,3.0,1.0,14.0,27.0,1.0,24.0,3.0,0.0,13.0,2.0,4.0,6.0,2.0,15.0,13.0,1.0,8.0,16.0,0.0,0.0,4.0,0.0,16.0,4.0,20.0,4.0,13.0,0.0,9.0,25.0,5.0,22.0
16 Apr,11.0,10.0,12.0,3.0,1.0,1.0,3.0,14.0,3.0,19.0,2.0,129.0,15.0,6.0,2.0,4.0,4.0,3.0,0.0,4.0,4.0,11.0,31.0,9.0,2.0,1.0,1.0,19.0,1.0,25.0,8.0,6.0,1.0,0.0,14.0,20.0,4.0,20.0,2.0,2.0,29.0,2.0,1.0,12.0,4.0,3.0,3.0,27.0,12.0,22.0,4.0,10.0,2.0,11.0,3.0,7.0,49.0,3.0,5.0,10.0,3.0,1.0,14.0,36.0,1.0,26.0,3.0,0.0,14.0,2.0,4.0,8.0,3.0,17.0,15.0,1.0,8.0,18.0,1.0,1.0,4.0,0.0,19.0,4.0,23.0,4.0,16.0,0.0,10.0,28.0,5.0,24.0
17 Apr,14.0,12.0,12.0,4.0,2.0,1.0,4.0,15.0,3.0,20.0,4.0,139.0,19.0,6.0,3.0,5.0,5.0,4.0,0.0,4.0,5.0,12.0,35.0,10.0,3.0,1.0,1.0,25.0,3.0,28.0,11.0,6.0,1.0,0.0,19.0,30.0,5.0,22.0,2.0,3.0,37.0,3.0,2.0,15.0,5.0,4.0,4.0,33.0,14.0,28.0,4.0,15.0,3.0,11.0,3.0,10.0,59.0,5.0,5.0,13.0,4.0,1.0,17.0,39.0,1.0,26.0,3.0,0.0,14.0,2.0,4.0,10.0,7.0,24.0,19.0,2.0,8.0,20.0,1.0,1.0,5.0,1.0,21.0,5.0,27.0,4.0,20.0,0.0,12.0,31.0,6.0,33.0
18 Apr,15.0,13.0,14.0,5.0,2.0,2.0,4.0,18.0,3.0,22.0,4.0,148.0,19.0,6.0,4.0,7.0,7.0,4.0,0.0,6.0,6.0,13.0,44.0,13.0,4.0,2.0,1.0,25.0,3.0,30.0,11.0,6.0,1.0,0.0,20.0,34.0,7.0,22.0,3.0,4.0,38.0,4.0,3.0,21.0,5.0,4.0,5.0,35.0,15.0,33.0,5.0,21.0,3.0,11.0,4.0,13.0,64.0,5.0,6.0,14.0,5.0,1.0,17.0,48.0,1.0,26.0,3.0,0.0,14.0,2.0,4.0,11.0,8.0,25.0,20.0,2.0,8.0,21.0,1.0,2.0,5.0,1.0,23.0,5.0,29.0,4.0,22.0,0.0,14.0,32.0,6.0,37.0
19 Apr,15.0,15.0,14.0,5.0,2.0,2.0,4.0,20.0,3.0,23.0,4.0,158.0,22.0,6.0,5.0,7.0,7.0,4.0,0.0,6.0,6.0,16.0,46.0,13.0,4.0,2.0,4.0,25.0,3.0,31.0,11.0,7.0,2.0,0.0,21.0,35.0,9.0,24.0,3.0,5.0,38.0,4.0,3.0,26.0,5.0,6.0,6.0,36.0,15.0,35.0,5.0,25.0,3.0,11.0,4.0,13.0,66.0,5.0,8.0,14.0,5.0,1.0,17.0,98.0,4.0,28.0,3.0,0.0,15.0,2.0,4.0,11.0,8.0,27.0,22.0,3.0,8.0,23.0,1.0,2.0,5.0,1.0,27.0,5.0,30.0,4.0,22.0,0.0,17.0,37.0,7.0,39.0
20 Apr,16.0,16.0,14.0,5.0,2.0,2.0,4.0,21.0,3.0,23.0,4.0,163.0,22.0,6.0,5.0,7.0,7.0,4.0,0.0,6.0,6.0,16.0,47.0,13.0,4.0,2.0,4.0,28.0,3.0,33.0,11.0,8.0,3.0,0.0,21.0,35.0,9.0,24.0,3.0,5.0,38.0,4.0,3.0,26.0,5.0,6.0,6.0,39.0,15.0,35.0,5.0,27.0,3.0,11.0,4.0,14.0,68.0,5.0,8.0,14.0,6.0,1.0,17.0,98.0,4.0,29.0,3.0,0.0,15.0,2.0,4.0,11.0,9.0,27.0,22.0,3.0,8.0,23.0,1.0,2.0,5.0,1.0,27.0,5.0,33.0,5.0,22.0,0.0,18.0,39.0,8.0,40.0
21 Apr,16.0,16.0,15.0,5.0,2.0,2.0,5.0,22.0,3.0,24.0,4.0,165.0,24.0,6.0,5.0,8.0,7.0,4.0,0.0,6.0,7.0,16.0,51.0,13.0,4.0,2.0,4.0,31.0,3.0,33.0,12.0,8.0,5.0,0.0,21.0,37.0,10.0,24.0,3.0,6.0,41.0,4.0,3.0,26.0,5.0,6.0,6.0,40.0,16.0,36.0,5.0,29.0,3.0,11.0,4.0,14.0,71.0,5.0,8.0,14.0,7.0,3.0,19.0,98.0,4.0,29.0,3.0,0.0,15.0,2.0,5.0,11.0,10.0,27.0,22.0,3.0,8.0,23.0,1.0,2.0,6.0,1.0,27.0,5.0,34.0,5.0,23.0,0.0,19.0,41.0,9.0,43.0
22 Apr,18.0,24.0,18.0,8.0,4.0,3.0,6.0,27.0,7.0,29.0,9.0,204.0,27.0,10.0,7.0,12.0,10.0,7.0,0.0,10.0,8.0,24.0,74.0,18.0,4.0,2.0,7.0,39.0,3.0,41.0,14.0,11.0,5.0,0.0,27.0,48.0,13.0,27.0,4.0,7.0,60.0,4.0,3.0,36.0,11.0,6.0,6.0,51.0,22.0,57.0,6.0,36.0,4.0,12.0,11.0,15.0,80.0,9.0,8.0,17.0,7.0,6.0,25.0,99.0,5.0,36.0,8.0,1.0,17.0,3.0,8.0,13.0,17.0,28.0,30.0,6.0,10.0,31.0,2.0,2.0,6.0,3.0,31.0,8.0,44.0,6.0,32.0,1.0,26.0,63.0,10.0,50.0
23 Apr,18.0,28.0,19.0,12.0,4.0,5.0,7.0,30.0,8.0,31.0,9.0,213.0,29.0,10.0,8.0,12.0,12.0,7.0,0.0,10.0,10.0,27.0,79.0,18.0,6.0,2.0,8.0,42.0,5.0,44.0,14.0,11.0,11.0,0.0,28.0,51.0,14.0,31.0,5.0,7.0,61.0,4.0,4.0,38.0,11.0,6.0,6.0,53.0,23.0,66.0,6.0,40.0,5.0,14.0,12.0,17.0,88.0,9.0,9.0,17.0,9.0,7.0,28.0,117.0,6.0,38.0,8.0,1.0,17.0,3.0,8.0,14.0,19.0,29.0,33.0,6.0,11.0,33.0,2.0,2.0,8.0,3.0,33.0,8.0,45.0,6.0,32.0,1.0,29.0,66.0,10.0,54.0
24 Apr,19.0,31.0,23.0,14.0,4.0,6.0,10.0,36.0,11.0,36.0,9.0,219.0,33.0,10.0,10.0,15.0,17.0,7.0,1.0,11.0,11.0,31.0,85.0,18.0,8.0,3.0,9.0,51.0,5.0,52.0,15.0,13.0,11.0,1.0,31.0,56.0,17.0,33.0,6.0,7.0,63.0,5.0,5.0,41.0,12.0,7.0,8.0,58.0,26.0,74.0,6.0,45.0,7.0,15.0,12.0,19.0,95.0,12.0,9.0,17.0,11.0,8.0,34.0,123.0,6.0,40.0,9.0,1.0,22.0,3.0,8.0,15.0,21.0,30.0,38.0,7.0,11.0,37.0,3.0,3.0,10.0,3.0,41.0,10.0,45.0,6.0,33.0,1.0,31.0,71.0,11.0,61.0
25 Apr,19.0,35.0,28.0,15.0,5.0,7.0,11.0,37.0,12.0,42.0,15.0,244.0,36.0,12.0,11.0,16.0,17.0,8.0,1.0,12.0,15.0,35.0,98.0,19.0,9.0,3.0,9.0,54.0,8.0,59.0,19.0,13.0,13.0,1.0,33.0,59.0,19.0,34.0,6.0,7.0,72.0,5.0,5.0,45.0,12.0,9.0,10.0,63.0,29.0,89.0,7.0,51.0,7.0,17.0,14.0,20.0,99.0,12.0,9.0,18.0,12.0,10.0,40.0,146.0,6.0,40.0,11.0,2.0,25.0,3.0,9.0,17.0,22.0,35.0,44.0,8.0,11.0,39.0,4.0,4.0,11.0,3.0,46.0,13.0,49.0,7.0,36.0,2.0,37.0,80.0,12.0,69.0
26 Apr,19.0,42.0,30.0,15.0,5.0,7.0,12.0,39.0,15.0,48.0,17.0,272.0,39.0,14.0,11.0,16.0,20.0,9.0,2.0,12.0,16.0,37.0,108.0,20.0,11.0,3.0,9.0,59.0,9.0,64.0,21.0,15.0,13.0,1.0,35.0,63.0,20.0,36.0,6.0,7.0,74.0,8.0,5.0,48.0,13.0,9.0,11.0,64.0,29.0,94.0,9.0,54.0,8.0,17.0,17.0,23.0,104.0,12.0,10.0,20.0,13.0,10.0,44.0,146.0,6.0,41.0,13.0,2.0,27.0,3.0,10.0,19.0,22.0,35.0,48.0,10.0,12.0,41.0,4.0,6.0,11.0,3.0,49.0,13.0,49.0,8.0,41.0,2.0,41.0,85.0,13.0,69.0
