,Cidades,latitude,longitude
0,Abreu e Lima,-7.900719,-34.898389
1,Afogados da Ingazeira,-7.750429,-37.6356375
2,Afranio,-8.5198919,-41.0070197
3,Agrestina,-8.4558021,-35.9442663
4,Agua Preta,-8.7079109,-35.5198586
5,Aguas Belas,-9.1113156,-37.1225218
6,Alagoinha,-8.50355635,-36.77701174370496
7,Alianca,-7.60398,-35.222696
8,Altinho,-8.4904095,-36.0607494
9,Amaraji,-8.373925,-35.4536527
10,Angelim,-8.8902038,-36.2872987
11,Aracoiaba,-7.7856903,-35.0898881
12,Araripina,-7.5768582,-40.5038509
13,Arcoverde,-8.415192,-37.057748
14,Barra de Guabiraba,-8.4173522,-35.6626669
15,Barreiros,-8.8159644,-35.1831905
16,Belem de Maria,-8.6242497,-35.8388934
17,Belem de Sao Francisco,-8.750599, -38.962584
18,Belo Jardim,-8.3338293,-36.4176419
19,Betania,-8.2742779,-38.0351767
20,Bezerros,-8.2372132,-35.7558262
21,Bodoco,-7.777592,-39.933797
22,Bom Conselho,-9.169191,-36.685683
23,Bom Jardim,-7.7961572,-35.5871696
24,Bonito,-8.4721161,-35.7314591
25,Brejao,-9.029146,-36.566034
26,Brejinho,-7.3482153,-37.28538
27,Brejo da Madre de Deus,-8.1409718,-36.3712527
28,Buenos Aires,-7.7218931,-35.326587
29,Buique,-8.6239732,-37.157296
30,Cabo de Santo Agostinho,-8.2838945,-35.0320984
31,Cabrobo,-8.5083701,-39.3106961
32,Cachoeirinha,-8.4906364,-36.2338963
33,Caetes,-8.7728788,-36.6255835
34,Calcado,-8.7413446,-36.3351787
35,Calumbi,-7.9389746,-38.1516871
36,Camaragibe,-8.0213832,-34.9810768
37,Camocim de Sao Felix,-8.3616757,-35.7638903
38,Camutanga,-7.4092965,-35.2738166
39,Canhotinho,-8.876519,-36.197935
40,Capoeiras,-8.7386788,-36.6268109
41,Carnaiba,-7.805964,-37.7947314
42,Carnaubeira da Penha,-8.3192809,-38.7435891
43,Carpina,-7.8459151,-35.2538861
44,Caruaru,-8.2829702,-35.9722852
45,Casinhas,-7.744698,-35.7250923
46,Catende,-8.6900588,-35.748470825
47,Cedro,-7.7186318,-39.2363385
48,Cha Grande,-8.238271,-35.457148
49,Cha de Alegria,-7.9959409,-35.2134636
50,Condado,-7.587868,-35.09994
51,Correntes,-9.1295585,-36.3287438
52,Cortes,-8.4724921,-35.5431197
53,Cumaru,-8.0065285,-35.6991651
54,Cupira,-8.6053148,-35.9530366
55,Custodia,-8.0861426,-37.6401873
56,Dormentes,-8.441163,-40.766168
57,Escada,-8.3594071,-35.2232683
58,Exu,-7.515434,-39.722015
59,Feira Nova,-7.9481471,-35.3871681
60,Ferreiros,-7.449667,-35.2426004
61,Flores,-7.862025,-37.9742806
62,Floresta,-8.5998918,-38.5706775
63,Frei Miguelinho,-7.9433019,-35.920939
64,Gameleira,-8.579803,-35.384573
65,Garanhuns,-8.8905889,-36.4930896
66,Gloria do Goita,-7.999959,-35.2866116
67,Goiana,-7.560603,-34.99591
68,Granito,-7.7145682,-39.6164505
69,Gravata,-8.1993049,-35.5631137
70,Iati,-9.0426669,-36.8466803
71,Ibimirim,-8.5379259,-37.6941375
72,Ibirajuba,-8.5795521,-36.178045
73,Igarassu,-7.8354423,-34.9061125
74,Iguaraci,-7.8352247,-37.5190066
75,Inaja Pernambuco,-8.9011209,-37.8244194
76,Ingazeira,-7.6773108,-37.4598895
77,Ipojuca,-8.3980773,-35.0611068
78,Ipubi,-7.6535334,-40.1494078
79,Itacuruba,-8.7266151,-38.6868754
80,Itaiba,-8.94675,-37.421188
81,Itamaraca,-7.747664,-34.830319
82,Itambe,-7.4108509,-35.10967
83,Itapetim,-7.377514,-37.1887321
84,Itapissuma,-7.767983,-34.897136
85,Itaquitinga,-7.6642569,-35.1023615
86,Jaboatao dos Guararapes,-8.1752476,-34.9468716
87,Jaqueira,-8.7276422,-35.7948925
88,Jatauba,-7.9860545,-36.4980118
89,Jatoba,-9.1832353,-38.2672047
90,Joao Alfredo,-7.8608755,-35.591575
91,Joaquim Nabuco,-8.6233192,-35.5264107
92,Jucati,-8.7065829,-36.4870496
93,Jupi,-8.7114677,-36.417448
94,Jurema,-8.7189103,-36.137365
95,Lagoa Grande,-8.9930649,-40.2716452
96,Lagoa do Carro,-7.843834,-35.310783
97,Lagoa do Itaenga,-7.9335596,-35.2919789
98,Lagoa do Ouro,-9.1247761,-36.4592567
99,Lagoa dos Gatos,-8.6537614,-35.9045124
100,Lajedo,-8.657914,-36.329336
101,Limoeiro,-7.872599,-35.440154
102,Macaparana,-7.555822, -35.448511
103,Machados,-7.6876999,-35.5126635
104,Manari,-8.9616166,-37.624648
105,Maraial,-8.7823791,-35.8113151
106,Mirandiba,-8.1202103,-38.728459
107,Moreilandia,-7.6298629,-39.5535521
108,Moreno,-8.108706,-35.08354
109,Nazare da Mata,-7.7452689,-35.2286396
110,Olinda,-7.9986401,-34.8459552
111,Orobo,-7.74562,-35.6019195
112,Oroco,-8.6147294,-39.6036682
113,Ouricuri,-7.884432,-40.0833221
114,Palmares,-8.684226,-35.589032
115,Palmeirina,-9.0030969,-36.3254036
116,Panelas,-8.661211,-36.012539
117,Paranatama,-8.9198099,-36.6573512
118,Parnamirim,-8.0911745,-39.5791567
119,Passira,-7.976317,-35.5817327
120,Paudalho,-7.90287,-35.171639
121,Paulista,-7.9340069,-34.868407
122,Pedra,-8.4995589,-36.944377
123,Pesqueira,-8.3579952,-36.6971741
124,Petrolandia,-8.9701861,-38.2213655
125,Petrolina,-9.3817334,-40.4968875
126,Pocao,-8.186709,-36.7023901
127,Pombos,-8.1398585,-35.396437
128,Primavera,-8.3308449,-35.3523034
129,Quipapa,-8.8269434,-36.011622
130,Quixaba,-7.7185273,-37.8484398
131,Recife,-8.0641931,-34.8781517
132,Riacho das Almas,-8.1356327,-35.8566421
133,Ribeirao,-8.5066761,-35.3747339
134,Rio Formoso,-8.6606291,-35.1550736
135,Saire,-8.3277815,-35.7094611
136,Salgadinho,-7.9403047,-35.6343745
137,Salgueiro,-8.073734,-39.12469
138,Saloa,-8.9734418,-36.687608
139,Sanharo,-8.3628776,-36.5573186
140,Santa Cruz da Baixa Verde,-7.8185452,-38.1523506
141,Santa Cruz do Capibaribe,-7.948019,-36.206092
142,Santa Cruz,-8.2392548,-40.3316611
143,Santa Filomena,-8.1605806,-40.613247
144,Santa Maria da Boa Vista,-8.8001615,-39.8271099
145,Santa Maria do Cambuca,-7.8328155,-35.882795
146,Santa Terezinha,-7.37696,-37.47875
147,Sao Benedito do Sul,-8.8107294,-35.9334035
148,Sao Bento do Una,-8.5207092,-36.4445546
149,Sao Caitano,-8.3304491,-36.135359
150,Sao Joao,-8.875762,-36.36532
151,Sao Joaquim do Monte,-8.4323653,-35.8076179
152,Sao Jose da Coroa Grande,-8.889375,-35.151461
153,Sao Jose do Belmonte,-7.8641261,-38.7599545
154,Sao Jose do Egito ,-7.469447,-37.273974
155,Sao Lourenco da Mata,-7.9959607,-35.039335
156,Sao Vicente Ferrer,-7.589691,-35.480844
157,Serra Talhada,-7.9867805,-38.2920294
158,Serrita,-7.9476953,-39.2957383
159,Sertania,-8.068467,-37.268393
160,Sirinhaem,-8.5922963,-35.1151914
161,Solidao,-7.6008705,-37.6514396
162,Surubim,-7.8424353,-35.7539722
163,Tabira,-7.583661,-37.537735
164,Tacaimbo,-8.317863, -36.290913
165,Tacaratu,-9.1051762,-38.1499125
166,Tamandare,-8.7500009,-35.1045787
167,Taquaritinga do Norte,-7.9027766,-36.0442227
168,Terezinha,-9.0560369,-36.623375
169,Terra Nova,-8.2288173,-39.3771252
170,Timbauba,-7.5118822,-35.316076
171,Toritama,-8.0083743,-36.058776
172,Tracunhaem,-7.8027253,-35.238498
173,Trindade,-7.759,-40.26472
174,Triunfo,-7.8362959,-38.1042617
175,Tupanatinga,-8.7542378,-37.3398733
176,Tuparetama,-7.6010116,-37.3114417
177,Venturosa,-8.5765199,-36.876569
178,Verdejante,-7.9288534,-38.96884
179,Vertente do Lerio,-7.7733359,-35.8498482
180,Vertentes,-7.906103,-35.9894975
181,Vicencia,-7.6574422,-35.3218464
182,Vitoria de Santo Antao,-8.1209019,-35.2944858
183,Xexeu,-8.8036743,-35.6244442
184,Fernando de Noronha,-3.856444, -32.429811